"gsid","index_no","station","district","year","month","day","max_temp"
"168","1319","Biratnagar Airport","Morang","2015","01","01","28.5"
"168","1319","Biratnagar Airport","Morang","2015","01","02","25.5"
"168","1319","Biratnagar Airport","Morang","2015","01","03","25.5"
"168","1319","Biratnagar Airport","Morang","2015","01","04","25.1"
"168","1319","Biratnagar Airport","Morang","2015","01","05","21.6"
"168","1319","Biratnagar Airport","Morang","2015","01","06","21.5"
"168","1319","Biratnagar Airport","Morang","2015","01","07","22.5"
"168","1319","Biratnagar Airport","Morang","2015","01","08","23.5"
"168","1319","Biratnagar Airport","Morang","2015","01","09","23.2"
"168","1319","Biratnagar Airport","Morang","2015","01","10","18.4"
"168","1319","Biratnagar Airport","Morang","2015","01","11","20.2"
"168","1319","Biratnagar Airport","Morang","2015","01","12","23"
"168","1319","Biratnagar Airport","Morang","2015","01","13","25"
"168","1319","Biratnagar Airport","Morang","2015","01","14","27"
"168","1319","Biratnagar Airport","Morang","2015","01","15","27.3"
"168","1319","Biratnagar Airport","Morang","2015","01","16","26.8"
"168","1319","Biratnagar Airport","Morang","2015","01","17","20.2"
"168","1319","Biratnagar Airport","Morang","2015","01","18","20.8"
"168","1319","Biratnagar Airport","Morang","2015","01","19","17.5"
"168","1319","Biratnagar Airport","Morang","2015","01","20","21"
"168","1319","Biratnagar Airport","Morang","2015","01","21","24.7"
"168","1319","Biratnagar Airport","Morang","2015","01","22","26.7"
"168","1319","Biratnagar Airport","Morang","2015","01","23","26.5"
"168","1319","Biratnagar Airport","Morang","2015","01","24","25.2"
"168","1319","Biratnagar Airport","Morang","2015","01","25","23.2"
"168","1319","Biratnagar Airport","Morang","2015","01","26","23.4"
"168","1319","Biratnagar Airport","Morang","2015","01","27","23.5"
"168","1319","Biratnagar Airport","Morang","2015","01","28","23.6"
"168","1319","Biratnagar Airport","Morang","2015","01","29","20.8"
"168","1319","Biratnagar Airport","Morang","2015","01","30","19.5"
"168","1319","Biratnagar Airport","Morang","2015","01","31","18.6"
"168","1319","Biratnagar Airport","Morang","2015","02","01","24"
"168","1319","Biratnagar Airport","Morang","2015","02","02","27"
"168","1319","Biratnagar Airport","Morang","2015","02","03","28.5"
"168","1319","Biratnagar Airport","Morang","2015","02","04","28.5"
"168","1319","Biratnagar Airport","Morang","2015","02","05","25.5"
"168","1319","Biratnagar Airport","Morang","2015","02","06","24.2"
"168","1319","Biratnagar Airport","Morang","2015","02","07","25.5"
"168","1319","Biratnagar Airport","Morang","2015","02","08","25.6"
"168","1319","Biratnagar Airport","Morang","2015","02","09","26.5"
"168","1319","Biratnagar Airport","Morang","2015","02","10","27.2"
"168","1319","Biratnagar Airport","Morang","2015","02","11","26.4"
"168","1319","Biratnagar Airport","Morang","2015","02","12","24.5"
"168","1319","Biratnagar Airport","Morang","2015","02","13","25.1"
"168","1319","Biratnagar Airport","Morang","2015","02","14","25"
"168","1319","Biratnagar Airport","Morang","2015","02","15","26.5"
"168","1319","Biratnagar Airport","Morang","2015","02","16","26.5"
"168","1319","Biratnagar Airport","Morang","2015","02","17","28.5"
"168","1319","Biratnagar Airport","Morang","2015","02","18","28.5"
"168","1319","Biratnagar Airport","Morang","2015","02","19","28.2"
"168","1319","Biratnagar Airport","Morang","2015","02","20","26.5"
"168","1319","Biratnagar Airport","Morang","2015","02","21","27.6"
"168","1319","Biratnagar Airport","Morang","2015","02","22","28.2"
"168","1319","Biratnagar Airport","Morang","2015","02","23","28.8"
"168","1319","Biratnagar Airport","Morang","2015","02","24","30.6"
"168","1319","Biratnagar Airport","Morang","2015","02","25","29.2"
"168","1319","Biratnagar Airport","Morang","2015","02","26","30.4"
"168","1319","Biratnagar Airport","Morang","2015","02","27","29"
"168","1319","Biratnagar Airport","Morang","2015","02","28","31.6"
"168","1319","Biratnagar Airport","Morang","2015","03","01","29"
"168","1319","Biratnagar Airport","Morang","2015","03","02","20.5"
"168","1319","Biratnagar Airport","Morang","2015","03","03","28.4"
"168","1319","Biratnagar Airport","Morang","2015","03","04","28.5"
"168","1319","Biratnagar Airport","Morang","2015","03","05","27.6"
"168","1319","Biratnagar Airport","Morang","2015","03","06","28.4"
"168","1319","Biratnagar Airport","Morang","2015","03","07","28.6"
"168","1319","Biratnagar Airport","Morang","2015","03","08","30.2"
"168","1319","Biratnagar Airport","Morang","2015","03","09","29"
"168","1319","Biratnagar Airport","Morang","2015","03","10","32.5"
"168","1319","Biratnagar Airport","Morang","2015","03","11","30"
"168","1319","Biratnagar Airport","Morang","2015","03","12","31"
"168","1319","Biratnagar Airport","Morang","2015","03","13","31.6"
"168","1319","Biratnagar Airport","Morang","2015","03","14","32.2"
"168","1319","Biratnagar Airport","Morang","2015","03","15","31.5"
"168","1319","Biratnagar Airport","Morang","2015","03","16","25.8"
"168","1319","Biratnagar Airport","Morang","2015","03","17","32.5"
"168","1319","Biratnagar Airport","Morang","2015","03","18","31"
"168","1319","Biratnagar Airport","Morang","2015","03","19","31.8"
"168","1319","Biratnagar Airport","Morang","2015","03","20","31.6"
"168","1319","Biratnagar Airport","Morang","2015","03","21","33.2"
"168","1319","Biratnagar Airport","Morang","2015","03","22","33.4"
"168","1319","Biratnagar Airport","Morang","2015","03","23","34.3"
"168","1319","Biratnagar Airport","Morang","2015","03","24","34.3"
"168","1319","Biratnagar Airport","Morang","2015","03","25","35"
"168","1319","Biratnagar Airport","Morang","2015","03","26","33"
"168","1319","Biratnagar Airport","Morang","2015","03","27","26.7"
"168","1319","Biratnagar Airport","Morang","2015","03","28","31"
"168","1319","Biratnagar Airport","Morang","2015","03","29","31.4"
"168","1319","Biratnagar Airport","Morang","2015","03","30","30.5"
"168","1319","Biratnagar Airport","Morang","2015","03","31","30.2"
