"gsid","index_no","station","district","year","month","day","min_temp"
"168","1319","Biratnagar Airport","Morang","2015","01","01","12"
"168","1319","Biratnagar Airport","Morang","2015","01","02","13"
"168","1319","Biratnagar Airport","Morang","2015","01","03","15"
"168","1319","Biratnagar Airport","Morang","2015","01","04","16.4"
"168","1319","Biratnagar Airport","Morang","2015","01","05","16.6"
"168","1319","Biratnagar Airport","Morang","2015","01","06","10"
"168","1319","Biratnagar Airport","Morang","2015","01","07","9.5"
"168","1319","Biratnagar Airport","Morang","2015","01","08","9.7"
"168","1319","Biratnagar Airport","Morang","2015","01","09","9"
"168","1319","Biratnagar Airport","Morang","2015","01","10","12.7"
"168","1319","Biratnagar Airport","Morang","2015","01","11","11.5"
"168","1319","Biratnagar Airport","Morang","2015","01","12","8.5"
"168","1319","Biratnagar Airport","Morang","2015","01","13","8"
"168","1319","Biratnagar Airport","Morang","2015","01","14","7.7"
"168","1319","Biratnagar Airport","Morang","2015","01","15","9"
"168","1319","Biratnagar Airport","Morang","2015","01","16","9.5"
"168","1319","Biratnagar Airport","Morang","2015","01","17","10.4"
"168","1319","Biratnagar Airport","Morang","2015","01","18","12.1"
"168","1319","Biratnagar Airport","Morang","2015","01","19","12.2"
"168","1319","Biratnagar Airport","Morang","2015","01","20","6.6"
"168","1319","Biratnagar Airport","Morang","2015","01","21","5"
"168","1319","Biratnagar Airport","Morang","2015","01","22","6"
"168","1319","Biratnagar Airport","Morang","2015","01","23","9.5"
"168","1319","Biratnagar Airport","Morang","2015","01","24","9.5"
"168","1319","Biratnagar Airport","Morang","2015","01","25","10"
"168","1319","Biratnagar Airport","Morang","2015","01","26","11.5"
"168","1319","Biratnagar Airport","Morang","2015","01","27","14"
"168","1319","Biratnagar Airport","Morang","2015","01","28","13.5"
"168","1319","Biratnagar Airport","Morang","2015","01","29","12.7"
"168","1319","Biratnagar Airport","Morang","2015","01","30","11.5"
"168","1319","Biratnagar Airport","Morang","2015","01","31","9.5"
"168","1319","Biratnagar Airport","Morang","2015","02","01","5.5"
"168","1319","Biratnagar Airport","Morang","2015","02","02","7.2"
"168","1319","Biratnagar Airport","Morang","2015","02","03","8.6"
"168","1319","Biratnagar Airport","Morang","2015","02","04","10"
"168","1319","Biratnagar Airport","Morang","2015","02","05","11.2"
"168","1319","Biratnagar Airport","Morang","2015","02","06","10.3"
"168","1319","Biratnagar Airport","Morang","2015","02","07","10.7"
"168","1319","Biratnagar Airport","Morang","2015","02","08","9.5"
"168","1319","Biratnagar Airport","Morang","2015","02","09","12.2"
"168","1319","Biratnagar Airport","Morang","2015","02","10","10.6"
"168","1319","Biratnagar Airport","Morang","2015","02","11","10.8"
"168","1319","Biratnagar Airport","Morang","2015","02","12","9.5"
